station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
357,2691,-0.139016,51.520994,BT Tower,W1T 4JZ,Howland Street,Fitzrovia,20120104,30,77189,987
358,1229,-0.124332,51.516434,184 High Holborn,WC1V7QX,High Holborn,Covent Garden,20120104,17,56041,1135
359,2662,-0.13544,51.497829,Windsor House,SW1H0NP,Butler Place,Westminster,20120104,18,58603,1251
360,2666,-0.138733,51.496753,7 Howick Pl,SW1E6RD,Howick Place,Westminster,20120104,27,80471,1088
361,2692,-0.113426,51.503919,Hole in the Wall,SE1 8SQ,Waterloo Station 2,Waterloo,20120104,55,110748,1122
362,2686,-0.133952,51.536264,5 Royal College St,NW1 0RY,Royal College Street,Camden Town,20120104,57,55539,1083
363,2665,-0.171185,51.529121,34 St John's Wood Rd,NW8 7HG,Lord's,St. John's Wood,20120104,24,15792,1426
364,3507,-0.132339,51.519656,37 Alfred Pl,WC1E7DU,Alfred Place,Bloomsbury,20120104,41,74591,973
365,2690,-0.100168,51.530344,315 City Rd,N1  8DH,City Road,Angel,20120104,47,64145,1108
366,1230,-0.151126,51.510919,45 Grosvenor Square,W1K 2HP,Millennium Hotel,Mayfair,20120104,27,36669,1479
367,2680,-0.164207,51.517372,47 Harrowby St,W1H 5EA,Harrowby Street,Marylebone,20120104,16,38027,1263
368,2681,-0.15934,51.500241,7 Harriet St,SW1X9JW,Harriet Street,Knightsbridge,20120104,25,56449,1536
369,,-0.107471,51.511113,Milford Lane,EC4Y0DS,Victoria Embankment,Temple,20120104,0,33559,1233
370,2670,-0.174593,51.520205,Winicotte House,W2  1NB,Paddington Green,Paddington,20120104,20,16253,1355
371,2639,-0.10988,51.49775,15 King Edward Walk,SE1 7HT,King Edward Walk,Waterloo,20120104,22,18161,1055
372,2649,-0.117863,51.515208,Sardinia St,WC2A3NA,Sardinia Street,Holborn,20120104,24,61441,1062
373,3499,-0.176415,51.499806,39 Prince Consort Rd,SW7 2BP,Prince Consort Road,Knightsbridge,20120104,18,49017,1094
374,2696,-0.113864,51.504027,Waterloo Station,SE1 8FS,Waterloo Station 1,Waterloo,20120104,36,210289,1036
375,10632,-0.194392,51.501945,26 Hornton St,W8  9SY,Kensington Town Hall,Kensington,20120104,18,24123,1386
376,2683,-0.125674,51.491884,12 Millbank,SW1P4QP,Millbank Tower,Pimlico,20120104,24,59460,1380
377,2648,-0.113656,51.505354,London City College,SE1 8TX,Waterloo Bridge,South Bank,20120104,15,47887,1324
378,2677,-0.179077,51.495592,64 Queen's Gate,SW7 5JS,Natural History Museum,South Kensington,20120104,42,64729,1462
379,2682,-0.200838,51.514311,222 Westbourne Grove,W11 2SE,Turquoise Island,Notting Hill,20120104,21,77130,1717
380,3506,-0.150666,51.506864,2 S Audley St,W1K 1LN,Stanhope Gate,Mayfair,20120104,21,36142,1301
381,2669,-0.135777,51.51953,44-46 Charlotte St,W1T 2NR,Charlotte Street,Fitzrovia,20120104,14,62691,1035
382,2678,-0.147449,51.509351,6 Farm St,W1J 5ND,Farm Street,Mayfair,20120104,15,26802,1198
383,2660,-0.131213,51.513103,25 Old Compton St,W1D 5JW,Frith Street,Soho,20120104,18,73940,1423
384,3505,-0.192404,51.496481,33 Marloes Rd,W8  6LG,Marloes Road,Kensington,20120104,15,23290,1301
386,3504,-0.13011,51.513527,12 Moor St,W1D 5NG,Moor Street,Soho,20120104,16,122022,1260
387,2703,-0.121394,51.493699,4 Albert Embankment,SE1 7SL,Fire Brigade Pier,Vauxhall,20120104,30,73569,1302
388,1228,-0.121723,51.510701,1-2 Southampton St,WC2R0LS,Southampton Street,Strand,20120104,14,91668,1338
389,10621,-0.155757,51.51013,23 Upper Grosvenor St,W1K 7PE,Upper Grosvenor Street,Mayfair,20120104,18,19391,1922
390,1223,-0.068856,51.521776,37 Buxton St,E1  5EH,Buxton Street 1,Shoreditch,20120104,41,32101,1219
391,2688,-0.142345,51.510662,12 Clifford St,W1S 4JY,Clifford Street,Mayfair,20120104,27,41143,1212
392,1220,-0.179702,51.499428,21 Queen's Gate,SW7 2BW,Imperial College,Knightsbridge,20120104,21,83859,1066
393,2699,-0.103604,51.517334,10 Snow Hill,EC1A2AL,Snow Hill,Farringdon,20120104,15,72725,804
394,2698,-0.176268,51.524826,1D Aberdeen Pl,NW8 8JN,Aberdeen Place,St. John's Wood,20120104,18,31292,1438
395,2695,-0.159919,51.492462,49 Cadogan Gardens,SW3 2TH,Cadogan Gardens,Chelsea,20120105,15,67119,1263
396,2693,-0.163609,51.51809,19 Shouldham St,W1H 5FE,Shouldham Street,Marylebone,20120105,16,50682,982
397,1227,-0.17977,51.51348,1A Devonshire Terrace,W2  3DR,Devonshire Terrace,Bayswater,20120105,16,70700,1356
398,10631,-0.200742,51.502319,48 Phillimore Gardens,W8  7QT,Holland Park,Kensington,20120105,30,28202,1809
399,2687,-0.071653,51.522617,111-113 Brick Ln,E1  6SE,Brick Lane Market,Shoreditch,20120105,24,81084,1596
400,1225,-0.154106,51.517703,38 George St,W1U 7DS,George Street,Marylebone,20120105,27,61970,1088
401,2701,-0.075375,51.528187,10 Columbia Rd,E2  7NP,Columbia Road,Shoreditch,20120105,24,72689,1126
402,10625,-0.171681,51.522892,49-55 Penfold St,NW8 8PW,Penfold Street,Marylebone,20120105,15,24747,1044
403,10630,-0.158249,51.516892,8 Portman Towers,W1H 7HN,George Place Mews,Marylebone,20120105,16,46570,1113
404,1110,-0.1844,51.502042,Broad Walk,SW7 5BB,Palace Gate,Kensington Gardens,20120105,13,159277,2330
405,1107,-0.18267,51.494185,Gloucester Road Station,SW7 4QH,Gloucester Road Station,South Kensington,20120105,15,96382,1228
406,10633,-0.160785,51.51222,10 N Carriage Dr,W2  2ET,Speakers' Corner 2,Hyde Park,20120105,25,160638,3435
407,977,-0.159988,51.512303,Cumberland Gate,W1H 7EL,Speakers' Corner 1,Hyde Park,20120105,20,188344,3230
408,1129,-0.170704,51.519943,Balmoral Apartments,W2  1DX,Paddington Green Police Station,Paddington,20120105,40,26595,1602
